PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
43.75,115.5,8.43,24.16,18.08,23.48347601937197,8.43,63.99,38.62,2.85,46.56,1.13
41.19,114.05,6.04,31.18,19.72,23.48347601937197,6.04,40.38,34.49143047551845,2.85,46.56,1.13
39.42,115.8,5.11,31.33,19.1,23.48347601937197,5.11,27.4,33.16,2.85,46.56,1.13
36.03,90.32,3.89,34.32,19.65,23.48347601937197,3.89,28.6,53.81,2.85,46.56,1.13
74.43,132.17,9.82,31.56,22.73,23.48347601937197,9.82,67.89,36.14,3.280840304500585,8.700972080037227,3.0701278234985114
44.61,112.32,4.98,31.4,17.08,23.48347601937197,4.98,34.25,49.45,6.81,28.18,7.52
43.67,91.12,7.11,26.61,17.61,23.48347601937197,7.11,34.72,39.74,4.71,19.16,2.8
87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,0.23,3.82,0.04
96.83,139.36,1.6,25.65,14.99,15.12,0.11,16.54,117.21,0.29,4.45,0.07
117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,0.36,6.21,0.17
108.06,167.62,7.29,47.05,30.94,18.52,0.08,16.05,70.74,0.31,4.32,0.24
100.75,172.04,7.63,53.94,33.45,18.49,0.11,14.05,59.2,0.26,3.77,0.19
106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,0.28,3.13,0.18
83.79,141.83,6.77,47.47,30.74,17.37,0.3,13.35,77.54,0.29,3.7,0.15
